,CS Schools,City,School,Class,Gender,Grade,Math_selfefficacy,Tablets_utility,CS_utility,Tablets_selfefficacy,Robots_interest,Tablets_interest,CS_selfefficacy,General_selfefficacy,Robots_utility,Robots_selfefficacy,CS_interest,Sport_selfefficacy,French_selfefficacy,Who_Teacher,Who_Mom,Who_Dad,Who_Student,Who_Other,Who_Nobody,General_selfefficacy,French_selfefficacy,Sport_selfefficacy,Math_selfefficacy
61,0,0,School_2,Class_4,Girl,3,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,1,2.0,2.0,2.0,1.0
62,0,0,School_2,Class_4,Girl,3,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1,0,0,0,0,1,2.0,2.0,2.0,2.0
63,0,0,School_2,Class_4,Boy,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,0,1,1,0,1,0,2.0,-1.0,2.0,2.0
64,0,0,School_2,Class_4,Girl,3,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0,0,1,0,0,0,2.0,2.0,2.0,0.0
65,0,0,School_2,Class_5,Girl,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,1,1,1,0,2.0,2.0,2.0,1.0
66,0,0,School_2,Class_5,Girl,3,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,2.0,1.0,2.0,0,1,1,1,0,0,2.0,2.0,1.0,2.0
67,0,0,School_2,Class_5,Boy,3,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,-1.0,0.0,2.0,2.0,-2.0,0,1,1,1,0,0,2.0,-2.0,2.0,2.0
68,0,0,School_2,Class_5,Girl,3,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1,1,1,1,0,0,2.0,2.0,2.0,2.0
69,0,0,School_2,Class_5,Girl,3,2.0,-2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0,1,1,0,1,0,2.0,1.0,2.0,2.0
70,0,0,School_2,Class_5,Girl,3,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1,1,1,0,0,0,2.0,2.0,2.0,2.0
