School Name,BRIN
Basisschool De Expeditie,14CY
basisschool de Expeditie,15NB
Basisschool de Ezelsbrug,11QL
Basisschool De Farel,07LH
Basisschool De Fijne Aarde,03WK
Basisschool De Firtel,10PB
Basisschool de Flecht,14IS
Basisschool De Flint,09HW
Basisschool De Fonkeling,10HV
Basisschool De Fontein,05FX
Basisschool De Fontein,15VE
Basisschool De Fontein,12QH
Basisschool De Fontein,26AM
Basisschool De Fontein - school met de Bijbel,21NI
Basisschool De Fuut,18JD
Basisschool De Geert Holle,13RD
Basisschool de Gielguorde,13QP
Basisschool De Glashorst,09UY
Basisschool De Grienden,07HV
Basisschool de Griffel,20IR
Basisschool De Groene Oase,10JN
Basisschool De Groenling,11XY
Basisschool De Grote Lier,05IA
Basisschool De Handpalm - school met de Bijbel,07KK
Basisschool De Hanevoet,17NO
Basisschool de Haren,12TH
Basisschool De Havenrakkers,18JE
Basisschool de Hazesprong,12AR
Basisschool De Heihorst,08JJ
Basisschool De Helmstok,06RU
Basisschool De Henricus,08KC
Basisschool de Heycant,13MX
Basisschool De Hobbendonken,19MD
Basisschool de Hobbit,11SX
Basisschool De Hoeksteen,04PX
Basisschool De Hoeksteen,04RJ
Basisschool De Hoeksteen,15CX
Basisschool De Hoeksteen,08RM
Basisschool De Hoeksteen,06TL
Basisschool De Hoeksteen,19RG
Basisschool De Hoeksteen Christelijk Onderwijs,04TA
Basisschool De Hoeksteen School met de Bijbel,04TX
Basisschool de Hoeven,10XO
Basisschool de Hofstee,12KJ
Basisschool De Hofvijver,16IR
Basisschool De Hoge Voorde,04TU
Basisschool De Hoge Waai,03SB
Basisschool De Hommel,03VK
Basisschool De Hoogakker,07SH
Basisschool De Horizon,18LJ
Basisschool De Horizon,08AD
Basisschool De Horizon,05BN
Basisschool De Horizon,15XP
Basisschool De Horizon - school met de Bijbel,05LB
Basisschool De Hortus,07PI
Basisschool De Hove,09ZJ
Basisschool De Hovenier,07SE
Basisschool De Huifkar,08DF
Basisschool de Hussel,10WO
Basisschool de Ichthus,13CW
Basisschool de Ieveling,13MJ
Basisschool De IJsselvallei,05TU
Basisschool De Imenhof,09IF
Basisschool De Jutter,03DJ
Basisschool de Kameleon,12QP
Basisschool De Kameleon,08RP
Basisschool De Kameleon,09MO
Basisschool De Kameleon,08ON
Basisschool De Kameleon,16BC
Basisschool De Kameleon,12LX
Basisschool de Kameleon,12ZG
